book_id,title,subtitle,authors,publisher,description,page_count,categories,language,isbn_13,isbn_10,list_price,buyable,year,popularity_score,pages_group,num_authors
di5WDwAAQBAJ,Guide to Ethics and Moral Philosophy,nan,Brent Adkins,Edinburgh University Press,"Brent Adkins traces the history of ethics and morality by examining six thinkers: Aristotle, Spinoza, Kant, Mill, Nietzsche and Levinas. The book is divided into 3 sections - Ethics, Morality and Beyond. Two thinkers are paired in each section to show you how the important questions of moral philosophy have been answered so that you might better answer them for yourself. You'll learn what the philosophers actually said about how to live the best kind of life and, more importantly, why.",185.0,Philosophy,English,9781474422796.0,1474422799,114.41,True,2017.0,0.0,Medium (100-300 pages),1
dQI2DwAAQBAJ,Ethics,An Introduction to the Western Schools of Thought in Moral Philosophy,"Rev. James L. Breed, Ph.D.",Dorrance Publishing,"Ethics by Rev. James L. Breed, Ph.D. Ethics: An Introduction to the Western Schools of Thought in Moral Philosophy is an introductory textbook in moral philosophy. It provides an outline of the main schools of thought in the Western philosophical traditions, with a brief analysis of each school of thought and the views of its critics. This text is designed to cover the major theories and schools of thought in moral philosophy: the divine command theory; the deontological theories; natural law theory; virtue ethics; other teleological theories including egoism and hedonism; the ethics of community; utilitarianism; existentialist ethics; individualism and radical individualism; relativism; realist and absolutist theories; feminist ethics; environmentalist ethics; the focus on the need for individual judgment and moral commitment; and contextualism.",337.0,Philosophy,English,9781480941106.0,1480941107,16.0,True,2017.0,0.0,Long ( >300 pages ),2
IBl9DgAAQBAJ,Transcendental Arguments in Moral Theory,nan,"Jens Peter Brune, Robert Stern, Micha H. Werner",Walter de Gruyter GmbH & Co KG,"Since Barry Stroud's classic paper in 1968, the general discussion on transcendental arguments tends to focus on examples from theoretical philosophy. It also tends to be pessimistic, or at least extremely reluctant, about the potential of this kind of arguments. Nevertheless, transcendental reasoning continues to play a prominent role in some recent approaches to moral philosophy. Moreover, some authors argue that transcendental arguments may be more promising in moral philosophy than they are in theoretical contexts. Against this background, the current volume focuses on transcendental arguments in practical philosophy. Experts from different countries and branches of philosophy share their views about whether there are actually differences between “theoretical” and “practical” uses of transcendental arguments. They examine and compare different versions of transcendental arguments in moral philosophy, explain their structure, and assess their respective problems and promises. This book offers all those interested in ethics, meta-ethics, or epistemology a more comprehensive understanding of transcendental arguments. It also provides them with new insights into uses of transcendental reasoning in moral philosophy.",324.0,Philosophy,English,9783110469899.0,3110469898,167.99,True,2017.0,0.0,Long ( >300 pages ),3
6A9REAAAQBAJ,"T. H. Green: Ethics, Metaphysics, and Political Philosophy",nan,"Maria Dimova-Cookson, William J. Mander",Clarendon Press,"Recent years have seen a growth of interest in the great English idealist thinker T. H. Green (1836-82) as philosophers have begun to overturn received opinions of his thought and to rediscover his original and important contributions to ethics, metaphysics, and political philosophy. This collection of essays by leading experts, all but one published here for the first time, introduces and critically examines his ideas both in their context and in their relevance to contemporary debates.",334.0,Philosophy,English,9780191533938.0,0191533939,129.99,True,2006.0,0.0,Long ( >300 pages ),2
e1YV1mc9vGgC,Aristotle's Ethics as First Philosophy,nan,Claudia Baracchi,Cambridge University Press,"In Aristotle's Ethics as First Philosophy Claudia Baracchi demonstrates the indissoluble links between practical and theoretical wisdom in Aristotle's thinking. Referring to a broad range of texts from the Aristotelian corpus, Baracchi shows how the theoretical is always informed by a set of practices, and specifically, how one's encounter with phenomena, the world, or nature in the broadest sense, is always a matter of ethos. Such a 'modern' intimation can, thus, be found at the heart of Greek thought. Baracchi's book opens the way for a comprehensively reconfigured approach to classical Greek philosophy.",343.0,Philosophy,English,9781139467988.0,1139467980,55.99,True,2007.0,0.0,Long ( >300 pages ),1
jsfnwzpwJCUC,Philosophy and Ethics,New Research,Laura V. Siegal,Nova Publishers,"In a world of seemingly never-ending technological advances, questions of ethics take on even more significance than in the past. Conflicts of interest abound and pressure mounts at every turn for more profits, higher incomes, power and instant gratification leads to the temptation to ignore questions of ethics. This book presents new and interesting research on ethical issues in the modern day.",374.0,Philosophy,English,9781600210907.0,1600210902,89.0,True,,0.0,Long ( >300 pages ),1
PcznDwAAQBAJ,John Rawls,Debating the Major Questions,"Jon Mandle, Sarah Roberts-Cady",Oxford University Press,"John Rawls is widely considered one of the most important political philosophers of the 20th century, and his highly original and influential works play a central role in contemporary philosophical debates. Given the vast scholarship written in response to his work, students and scholars need some guidance in finding and understanding the central debates and arguments. This book meets this need like no other collection has before. This collection of original essays is divided into ten parts, with each part covering a major area of philosophical debate inspired by Rawls's work. In each part, there is an introductory essay, providing an overview of the relevant arguments from Rawls's work and the historical contours of the debate that ensued. Each introductory essay is followed by two essays written by scholars who take opposing positions on the debate, moving the debate forward in a fruitful way.",409.0,Philosophy,English,9780190859244.0,0190859245,42.99,True,2020.0,0.0,Long ( >300 pages ),2
IHFnaAxWr5QC,Genes and Morality,New Essays,"Veikko Launis, Juhani Pietarinen, Juha Räikkä",Rodopi,"Most public discussion has focused on those effects of genetic research that are considered in some way unwanted or unpleasant. For example, there has been much debate concerning the risks and the ethical appropriateness of genetic screening, gene therapy, and agricultural applications based on genetic techniques. It often claimed that genetic research may cause new problems such as genetic discrimination, stigmatization, environmental risks, or mistreatment of animals. Genes and Morality: New Essays adopts a critical attitude toward genetic research, on both a theoretical and a practical level. It presents some of the most important problems in the ethics of genetic engineering, including the questions of genetic health and disease, genetic testing, responsibility for health, patenting non-human and human life, and problems related to the disclosure of genetic information. The aim of the book is to focus on real ethical and conceptual issues. Consider, for instance, the concept of genetic disease. As one of the contributors, Ingmar Pörn, writes, fear of genetic disease, or anxiety, is not itself a disease any more than fear of becoming unemployed is a disease. Alleviating such emotions is not a medical task to be discharged by drug therapy. The book also examines the philosophical foundations of these issues by discussing the most influential bioethical theories of today, including utilitarianism and principlism.",224.0,Medical,English,9789042006966.0,904200696X,11.76,True,,0.0,Medium (100-300 pages),3
HdgpAAAAQBAJ,Reading Onora O'Neill,nan,"David Archard, Monique Deveaux, Neil Manson, Daniel Weinstock",Routledge,"Onora O’Neill is one of the foremost moral philosophers writing today. Her work on ethics and bioethics, political philosophy and the philosophy of Kant is extremely influential. Her landmark Reith Lectures on trust did much to establish the subject not only on the philosophical and political agenda but in the world of media, business and law more widely. Reading Onora O’Neill is the first book to examine and critically appraise the work of this important thinker. It includes specially commissioned chapters by leading international philosophers in ethics, Kantian philosophy and political philosophy. The following aspects of O’Neill’s work are examined: global justice Kant the ethics of the family bioethics consent trust. Featuring a substantial reply to her critics at the end of the book, Reading Onora O’Neill is essential reading for students and scholars of ethics and political philosophy.",268.0,Philosophy,English,9781135017613.0,1135017611,64.99,True,2013.0,0.0,Medium (100-300 pages),4
O8znDwAAQBAJ,John Rawls,Debating the Major Questions,"Jon Mandle, Sarah Roberts-Cady",Oxford University Press,"John Rawls is widely considered one of the most important political philosophers of the 20th century, and his highly original and influential works play a central role in contemporary philosophical debates. This collection of original essays explores the outpouring of scholarship and debate inspired by Rawls's political philosophy. Given the vastness of this scholarship, this volume aims to provide inroads to its central themes and preoccupations. The volume is divided into ten parts, exploring ten distinct questions, for example: Can Rawls's conception of public reason offer determinate answers to major questions of justice? Is ideal theory useful or relevant to resolving issues of justice in the nonideal world? Are libertarians correct to criticize Rawls's work for failing to prioritize economic liberty? When institutions aim at equality, what is it that they should seek to equalize--primary goods, capabilities, or welfare? For each question, there is an introductory essay, providing an overview of the relevant arguments from Rawls's work and the historical contours of the debate that ensued. Each introductory essay is followed by two essays written by scholars who take opposing positions, which move the discussion forward in a fruitful way. This volume provides readers with clear and in-depth explication of Rawls's arguments, the most important critical dialogue generated in response to those arguments, and the dialogue's significance to contemporary politics.",409.0,Philosophy,English,9780190859237.0,0190859237,38.99,True,2020.0,0.0,Long ( >300 pages ),2
pIk7EAAAQBAJ,Applying Nonideal Theory to Bioethics,Living and Dying in a Nonideal World,"Elizabeth Victor, Laura K. Guidry-Grimes",Springer Nature,"This book offers new essays exploring concepts and applications of nonideal theory in bioethics. Nonideal theory refers to an analytic approach to moral and political philosophy (especially in relation to justice), according to which we should not assume that there will be perfect compliance with principles, that there will be favorable circumstances for just institutions and right action, or that reasoners are capable of being impartial. Nonideal theory takes the world as it actually is, in all of its imperfections. Bioethicists have called for greater attention to how nonideal theory can serve as a guide in the messy realities they face daily. Although many bioethicists implicitly assume nonideal theory in their work, there is the need for more explicit engagement with this theoretical outlook. A nonideal approach to bioethics would start by examining the sociopolitical realities of healthcare and the embeddedness of moral actors in those realities. How are bioethicists to navigate systemic injustices when completing research, giving guidance for patient care, and contributing to medical and public health policies? When there are no good options and when moral agents are enmeshed in their sociopolitical viewpoints, how should moral theorizing proceed? What do bioethical issues and principles look like from the perspective of historically marginalized persons? These are just a few of the questions that motivate nonideal theory within bioethics. This book begins in Part I with an overview of the foundational tenets of nonideal theory, what nonideal theory can offer bioethics, and why it may be preferable to ideal theory in addressing moral dilemmas in the clinic and beyond. In Part II, authors discuss applications of nonideal theory in many areas of bioethics, including reflections on environmental harms, racism and minority health, healthcare injustices during incarceration and detention, and other vulnerabilities experienced by patients from clinical and public health perspectives. The chapters within each section demonstrate the breadth in scope that nonideal theory encompasses, bringing together diverse theorists and approaches into one collection.",419.0,Philosophy,English,9783030725037.0,3030725030,129.0,False,2021.0,0.0,Long ( >300 pages ),2
F0A9EQAAQBAJ,Forensic Psychology,nan,Mr. Rohit Manglik,EduGorilla Publication,"EduGorilla Publication is a trusted name in the education sector, committed to empowering learners with high-quality study materials and resources. Specializing in competitive exams and academic support, EduGorilla provides comprehensive and well-structured content tailored to meet the needs of students across various streams and levels.",160.0,Psychology,English,9789368170211.0,9368170215,11.26,True,2024.0,0.0,Medium (100-300 pages),1
P-1CpL6XDTYC,Ethical Theory,An Anthology,Russ Shafer-Landau,John Wiley & Sons,"The second edition of Ethical Theory: An Anthology features a comprehensive collection of more than 80 essays from classic and contemporary philosophers that address questions at the heart of moral philosophy. Brings together 82 classic and contemporary pieces by renowned philosophers, from seminal works by Hume and Kant to contemporary views by Derek Parfit, Susan Wolf, Judith Jarvis Thomson, and many more Features updates and the inclusion of a new section on feminist ethics, along with a general introduction and section introductions by Russ Shafer-Landau Guides readers through key areas in ethical theory including consequentialism, deontology, contractarianism, and virtue ethics Includes underrepresented topics such as moral knowledge, moral standing, moral responsibility, and ethical particularism",817.0,Philosophy,English,9781118316825.0,1118316827,66.0,True,2012.0,5.0,Long ( >300 pages ),1
4WoQhVQSNlwC,Formal Axiology and Its Critics,nan,Rem Blanchard Edwards,Rodopi,"Preliminary Material /Editor: Rem B. Edwards --Editorial Foreword /Rem B. Edwards --Acknowledgments /Editor: Rem B. Edwards --One Introduction /Rem B. Edwards --Two Axiology as a Science: Reply to Hector Neri Castañeda, 1961 /Robert S. Hartman --Three Some Spurious Proofs for the Pure Ego /Rem B. Edwards --Four FOrmal Axiology and Its Critics /Robert S. Hartman --Five TEn Unanswered Questions /Rem B. Edwards --Six A Reply to ""Ten Unanswered Questions"" /Frank G. Forrest --Seven A Quantum Wave Model of Value Theory /Mark A. Moore --About the Contributors /Editor: Rem B. Edwards --Index /Editor: Rem B. Edwards --VIBS /Editor: Rem B. Edwards.",250.0,Philosophy,English,9789051839104.0,9051839103,11.76,True,,0.0,Medium (100-300 pages),1
EM6WAwAAQBAJ,"Education, Justice and the Human Good",Fairness and equality in the education system,Kirsten Meyer,Routledge,"The education system is faced with many demands of justice. What these demands imply and how they are justified is, however, disputed. In this book, international contributors present cutting edge research to discuss the relationship between educational justice and the value of education. By combining reflections on educational justice with reflections on the human good and the aims of education, the book reveals that it is not enough to assess certain patterns of distribution; the value of what is to be distributed must also be clarified. In this respect, deliberations about the value of education have to play an integral part in giving an account of educational justice. Questions addressed in the volume include: - In what sense should justice, fairness and equality be realised in the education system? - How is educational equality related to equality of opportunity? - Is the main concern that everyone should be educated equally well – or just well enough? Education, Justice and the Human Good discusses the positional value of education and its relation to educational justice, emphasising that education is valuable not only for competitive reasons, but in its contribution to human flourishing. The book will appeal to those from the field of the philosophy of education as well as applied political philosophy, from undergraduates to professional academics.",194.0,Education,English,9781134698202.0,1134698208,66.99,True,2014.0,0.0,Medium (100-300 pages),1
63O1CwAAQBAJ,Virtue and Economy,Essays on Morality and Markets,"Andrius Bielskis, Kelvin Knight",Routledge,"Interest in Aristotelianism and in virtue ethics has been growing for half a century but as yet the strengths of the study of Aristotelian ethics in politics have not been matched in economics. This ground-breaking text fills that gap. Challenging the premises of neoclassical economic theory, the contributors take issue with neoclassicism’s foundational separation of values from facts, with its treatment of preferences as given, and with its consequent refusal to reason about final ends. The contrary presupposition of this collection is that ethical reasoning about human ends is essential for any sustainable economy, and that reasoning about economic goods should therefore be informed by reasoning about what is humanly and commonly good. Contributions critically engage with aspects of corporate capitalism, managerial power and neoliberal economic policy, and reflect on the recent financial crisis from the point of view of Aristotelian virtue ethics. Containing a new chapter by Alasdair MacIntyre, and deploying his arguments and conceptual scheme throughout, the book critically analyses the theoretical presuppositions and institutional reality of modern capitalism.",255.0,Political Science,English,9781317001508.0,1317001508,56.99,True,2016.0,0.0,Medium (100-300 pages),2
Ocz8EAAAQBAJ,Research and Publication Ethics,An Introduction,"Nimit Chowdhary, Sunayana, Monika Prakash",Taylor & Francis,"This book provides a comprehensive overview of research and publication ethics and guides young researchers on how to conduct ethical research and publish their work responsibly. It presents an understanding of ethical practices in research and how they apply to research and publication by examining the different ethical theories and their application. The book also discusses the different factors influencing ethical decision-making and probes into the ethical issues that can arise in the research process. It explores the different forms of scientific misconduct, such as data fabrication and falsification, plagiarism, and conflicts of interest, and provides strategies for ethical research. The book also details the impact of scientific misconduct on research and publication and the strategies for preventing and detecting misconduct. Aligning to the belief that promoting ethical research practices is essential for advancing science and society, this book will be helpful for young researchers, scholars, aspiring researchers, and academicians interested in ethical research practices in multiple disciplines.",296.0,Reference,English,9781040031773.0,1040031773,52.99,True,2024.0,0.0,Medium (100-300 pages),3
Uah8DwAAQBAJ,Ethics Beyond the Limits,New Essays on Bernard Williams’ Ethics and the Limits of Philosophy,"Sophie Grace Chappell, Marcel van Ackeren",Routledge,"Bernard Williams’ Ethics and the Limits of Philosophy is widely regarded as one of the most important works of moral philosophy in the last fifty years. Williams’s powerful sceptical critique of the ""morality system"" sent shockwaves through philosophy, the implications of which are still being reckoned with thirty years later. In this outstanding collection of new essays, fourteen internationally-recognised philosophers examine the enduring contribution that Williams’s book continues to make to ethics. After a detailed topical summary of Ethics and the Limits of Philosophy by Adrian Moore, the full scope of the work is assessed, including the role of Aristotle and Hume in Williams’ thought and his arguments concerning the history of philosophy; the nature of virtue, the good life, practical reason, and deliberation; and the themes of duty, blame and inauthenticity. Ethics Beyond the Limits is required reading for students and researchers in ethics, metaethics, and moral psychology, and highly recommended for anyone studying the work of Bernard Williams.",426.0,Philosophy,English,9781351060097.0,1351060090,56.99,True,2018.0,0.0,Long ( >300 pages ),2
mRZREAAAQBAJ,"Minds, Ethics, and Conditionals",Themes from the Philosophy of Frank Jackson,Ian Ravenscroft,OUP Oxford,"An illustrious line-up of seventeen philosophers from the USA, the UK, and Australia present new essays on themes from the work of Frank Jackson, which bridges mind, language, logic, metaphysics, and ethics. Central to Jackson's work is an approach to metaphysical issues built on the twin foundations of supervenience and conceptual analysis. In the first part of the book six essays examine this approach and its application to philosophy of mind and philosophy of colour. The second part focuses on Jackson's highly influential work on phenomenal consciousness. The third part is devoted to Jackson's work in ethics, both normative ethics and metaethics. The last three papers discuss Jackson's ground-breaking work on conditionals. The final section of the book comprises a substantial essay by Jackson in reply to his critics: this offers some of the clearest expressions of the ideas which Jackson has brought to the fore in philosophy.",485.0,Philosophy,English,9780191556258.0,0191556254,86.79,True,2009.0,0.0,Long ( >300 pages ),1
5sJ1DwAAQBAJ,The Psychology of Habit,"Theory, Mechanisms, Change, and Contexts",Bas Verplanken,Springer,"This unique reference explores the processes and nuances of human habits through social psychology and behavioral lenses. It provides a robust definition and theoretical framework for habit as well as up-to-date information on habit measurement, addressing such questions as which mechanisms are involved in habitual action and whether people can report accurately on their own habits. Specialized chapters pay close attention to how habits can be modified, as well as widely varying manifestations of habitual thoughts and behaviors, including the mechanisms of drug addiction and recovery, the repetitive characteristics of autism, and the unwitting habits of health professionals that may impede patient care. And across these pages, contributors show the potential for using the processes of maladaptive habits to replace them with positive and health-promoting ones. Throughout this volume attention is also paid to the practice of conducting habit research. Among the topics covered: Habit mechanisms and behavioral complexity. Complexities and controversies of physical activity habit. Habit discontinuities as vehicles for behavior change. Habits in depression: understanding and intervention. A critical review of habit theory of drug dependence. Questions about the automaticity of habitual behaviors. The Psychology of Habit will interest psychologists across a wide spectrum of domains: habit researchers in broader areas of social and health psychology, professionals working in (sub)clinical areas, interested scholars in marketing, consumer research, communication, and education, and public policymakers dealing with questions of behavioral change in the areas of health, sustainability, and/or education.",413.0,Psychology,English,9783319975290.0,3319975293,239.0,False,2018.0,0.0,Long ( >300 pages ),1
TIyd4NBHGxAC,Behavior and Personality,Psychological Behaviorism,"Walter W. Staats, PhD",Springer Publishing Company,"In this capstone work, Arthur Staats synthesizes more than four decades of research, theory, and study into a new generation of behaviorism that offers insights and future directions for researchers, professionals, and students. Staats's unified theory of psychological behaviorism builds on current theories in child development, personality, psychological measurement, and abnormal behavior. His theoretical model provides new ways to consider human behavior as a whole that will have implications for research, theory, and practice.",465.0,Psychology,English,9780826193124.0,0826193129,124.99,True,1996.0,0.0,Long ( >300 pages ),2
ZczkT2INqcYC,Understanding Behavior in the Context of Time,"Theory, Research, and Application","Alan Strathman, Jeff Joireman",Psychology Press,"Understanding Behavior in the Context of Time reviews the research on temporal orientation and brings together the disparate social behaviors influenced by time perspective. Organized into four sections, each chapter includes theory, research, applications, and directions for future research. Some chapters outline novel theoretical approaches that help to expand and/or integrate existing theories. The second part focuses on individual level processes and reviews the conceptualization, measurement, and lifespan development of time orientation; the outcomes associated with various time orientations; and how temporal factors influence attitudes and persuasion. Part three explores the role of time within interpersonal and group level processes as applied to such areas as close relationships, group cooperation, aggression, organizational behavior, pro-environmental behavior, and cultural issues. This book will be of interest to social and personality psychologists, and the book's applied emphasis will appeal to health, environmental, and industrial psychologists.",412.0,Psychology,English,9781135611811.0,1135611815,74.99,False,2006.0,0.0,Long ( >300 pages ),2
GC5AEAAAQBAJ,Goal Directed Behavior,The Concept of Action in Psychology,"Michael Frese, John Sabini",Routledge,"Originally published in 1985, this book was an attempt at a comprehensive review of the psychology of action in various areas of psychology. It is also an attempt to bridge two languages and traditions in psychology: German and Anglo-American. Although Anglo-American psychology had had an enormous influence on German psychology, the influence had not gone the other way around – at least not in recent years. Therefore, this book attempts to get the two traditions to speak with each other. The main article, from one language area, and the following discussion, from the other language area, together result in an extensive treatment of an action-theoretic approach in the respective psychological area; thus, both the main article and ""discussion"" should be read together.",302.0,Psychology,English,9781000363883.0,1000363880,45.99,True,2021.0,0.0,Long ( >300 pages ),2
rBaLBQAAQBAJ,"Affect, Conditioning, and Cognition (PLE: Emotion)",Essays on the Determinants of Behavior,"J. Bruce Overmier, F. Robert Brush",Psychology Press,"Originally published in 1985, this title was a retrospective appreciation of the late Richard L. Solomon. His pre- and postdoctoral students from past years presented the 22 papers which are published in this volume. The book reflects the breadth of Solomon’s impact through his teaching and research. The first part contains a chapter that provides a bit of history in a retrospective appreciation of the several foci of Solomon’s research career. This chapter sets the stage for those that follow and reduces their diversity by providing a degree of historical understanding. The second part on the role of properties of fear contains chapters that address various issues associated with the role of conditioned fear. The third part contains papers that address cognitive, information-processing issues in the context of Pavlovian conditioning of appetitive and aversive events, reasoning and timing. The fourth part continues the exploration of the phenomenon of learned helplessness first discovered in Solomon’s laboratory. The fifth part addresses various issues associated with the Solomon and Corbit opponent-process theory of motivation and affect. The final part, on applications to human and cultural issues, contains chapters on such diverse subjects as cross-cultural analyses of aggressive behavior in children, the analysis of resistance to change in industrial organizations, the concept of liberty in formulating research issues in developmental psychology, and the status of free will in modern American psychology.",403.0,Psychology,English,9781317596158.0,1317596153,68.99,True,2014.0,0.0,Long ( >300 pages ),2
KU0PDQAAQBAJ,Reflective and Impulsive Determinants of Human Behavior,nan,"Roland Deutsch, Bertram Gawronski, Wilhelm Hofmann",Psychology Press,"Conflicts between the ""head"" and the ""heart"" are very common in everyday life. Over the past decade, research on such self-regulatory conflicts has been strongly shaped by Strack and Deutsch’s 2004 Reflective-Impulsive Model (RIM). The award-winning theory integrates cognitive, affective, and motivational influences on overt behavior, offering a domain-independent framework that is applicable to wide range of social and non-social phenomena. This book provides a state-of-the-art overview of research under the framework of the RIM. Its 15 chapters provide an overview of basic principles of behavior determination, showcase the RIM’s integrative and predictive power in many cross-cutting areas of inquiry, and illustrate the value of the theory for understanding the fundamental role of reflective and impulsive processes in various applied domains. Expanding on an introduction that discusses the significance of the RIM from a historical view, the book is divided into three major sections. The first section covers basic psychological principles within the RIM, including selective accessibility, embodiment, associative and propositional operations, and implementation intentions. The second section reviews the integrative and predictive power of the RIM in many cross-cutting areas of inquiry, including intuition, attitudes, self-control, and personality. Finally, the third section showcases the generative power of the RIM in various applied areas, including research on health behavior, addiction, anxiety, economic behavior, sexual behavior, and aggression. In its entirety, this volume provides an indispensable resource for any scholar interested in the psychological underpinnings of reflective and impulsive behavior in various areas of inquiry.",441.0,Psychology,English,9781315523071.0,1315523078,76.99,True,2016.0,0.0,Long ( >300 pages ),3
vf0-EAAAQBAJ,Psychology and Behavioral Economics,Applications for Public Policy,Kai Ruggeri,Routledge,"Psychology and Behavioral Economics offers an expert introduction to how psychology can be applied to a range of public policy areas. It examines the impact of psychological research for public policymaking in economic, financial, and consumer sectors; in education, healthcare, and the workplace; for energy and the environment; and in communications. Your energy bills show you how much you use compared to the average household in your area. Your doctor sends you a text message reminder when your appointment is coming up. Your bank gives you three choices for how much to pay off on your credit card each month. Wherever you look, there has been a rapid increase in the importance we place on understanding real human behaviors in everyday decisions, and these behavioral insights are now regularly used to influence everything from how companies recruit employees through to large-scale public policy and government regulation. But what is the actual evidence behind these tactics, and how did psychology become such a major player in economics? Answering these questions and more, this team of authors, working across both academia and government, present this fully revised and updated reworking of Behavioral Insights for Public Policy. This update covers everything from how policy was historically developed, to major research in human behavior and social psychology, to key moments that brought behavioral sciences to the forefront of public policy. Featuring over 100 empirical examples of how behavioral insights are being used to address some of the most critical challenges faced globally, the book covers key topics such as evidence-based policy, a brief history of behavioral and decision sciences, behavioral economics, and policy evaluation, all illustrated throughout with lively case studies. Including end-of-chapter questions, a glossary, and key concept boxes to aid retention, as well as a new chapter revealing the work of the Canadian government’s behavioral insights unit, this is the perfect textbook for students of psychology, economics, public health, education, and organizational sciences, as well as public policy professionals looking for fresh insight into the underlying theory and practical applications in a range of public policy areas.",496.0,Business & Economics,English,9781000449976.0,1000449971,54.99,True,2021.0,0.0,Long ( >300 pages ),1
gZxbEQAAQBAJ,The General Theory of Behaviour,A Sourcebook,David F Marks,Cambridge Scholars Publishing,"This ground-breaking book presents a revolutionary new synthesis for the science of mind and behaviour. The book explains how behaviour and mental processes are unified within a single system of psychological homeostasis. A new Law of Equilibrium holds that mind and behaviour persistently strive towards safety, security and stability. The book creates a unified approach for the entire psychology discipline free from the divisions of a problematic past. The author and a select group of highly qualified contributors present psychology as a full-blooded natural science with axioms, laws and empirically supported principles. Any person and any library with an interest in how the mind works will find here a fascinating story and gripping analyses of motivation, feelings, emotions, habits, addictions, stress, altruism, well-being, trauma, paranormal experiences, waking and sleep. The volume catalogues unprecedented levels of empirical support for a psychological theory with a 97.4 percent rate of prediction from an array of well-documented contributions.",636.0,Psychology,English,9781036442460.0,1036442462,161.95,True,2025.0,0.0,Long ( >300 pages ),1
GjzWsx1UmT0C,Sociology in America,A History,Craig Calhoun,University of Chicago Press,"Though the word “sociology” was coined in Europe, the field of sociology grew most dramatically in America. Despite that disproportionate influence, American sociology has never been the subject of an extended historical examination. To remedy that situation—and to celebrate the centennial of the American Sociological Association—Craig Calhoun assembled a team of leading sociologists to produce Sociology in America. Rather than a story of great sociologists or departments, Sociology in America is a true history of an often disparate field—and a deeply considered look at the ways sociology developed intellectually and institutionally. It explores the growth of American sociology as it addressed changes and challenges throughout the twentieth century, covering topics ranging from the discipline’s intellectual roots to understandings (and misunderstandings) of race and gender to the impact of the Depression and the 1960s. Sociology in America will stand as the definitive treatment of the contribution of twentieth-century American sociology and will be required reading for all sociologists. Contributors: Andrew Abbott, Daniel Breslau, Craig Calhoun, Charles Camic, Miguel A. Centeno, Patricia Hill Collins, Marjorie L. DeVault, Myra Marx Ferree, Neil Gross, Lorine A. Hughes, Michael D. Kennedy, Shamus Khan, Barbara Laslett, Patricia Lengermann, Doug McAdam, Shauna A. Morimoto, Aldon Morris, Gillian Niebrugge, Alton Phillips, James F. Short Jr., Alan Sica, James T. Sparrow, George Steinmetz, Stephen Turner, Jonathan VanAntwerpen, Immanuel Wallerstein, Pamela Barnhouse Walters, Howard Winant",929.0,Social Science,English,9780226090962.0,0226090965,43.99,False,2008.0,0.0,Long ( >300 pages ),1
5jyAAgAAQBAJ,Sociology: The Key Concepts,nan,John Scott,Routledge,"An essential A-Z guide to the full range of sociological thought, Sociology: The Key Concepts is an important addition to the established and successful Key Concepts series. Fully cross-referenced with an extensive glossary, this accessible text also includes: alphabetical listings of key concepts for ease of use suggestions for further reading to enhance understanding of areas covered entries on ‘traditionalism’ ‘race and racialization’ and ‘modernity’. Bringing together an international range of highly regarded contributors from the full spectrum of disciplines, this useful reference guide is the ideal resource for those studying or interested in this popular area.",390.0,Social Science,English,9781134288229.0,1134288220,45.99,False,2006.0,0.0,Long ( >300 pages ),1
cyFWDwAAQBAJ,What's Wrong with Sociology?,nan,Stephen Cole,Routledge,"Since the 1950s sociology has experienced a decline in prestige when compared with the other social sciences. In some highly publicized cases some universities have retrenched their sociology departments, others are contemplating either retrenchment or downsizing of their departments. Although there are some practitioners of the discipline who believe that it has never been in better shape, many sociologists have come to believe that there are very serious problems both in the cognitive and social organization of the discipline. This book contains sixteen essays by sociologists who believe that their discipline faces very serious problems which must be overcome if the discipline is to survive and prosper. The contributors were selected to represent diverse views and thus there is substantial disagreement among them over what the problems are that sociology faces and how they may be remedied. In this highly provocative book readers is likely to find some essays they agree with and others they disagree with; but all the essays present important problems faced by the discipline which must be addressed.Although the authors of the sixteen essays do not agree on what is wrong with the discipline, there are some themes which appear frequently. In his introduction Cole summarizes and comments on these themes. His introduction centers on the question of whether sociology is entirely socially constructed. Is what we believe to be true about society constrained by empirical evidence or is it a result of our ideology, power, authority, and other social processes? One theme which appears in many of the essays is that sociology has become too ideological and as a result has lost credibility among university administrators, politicians and the general public. Many of the essays also stress the view that there are very low levels of consensus in sociology and that it is hard to see evidence of progress. Others criticize the discipline for not dealing with the really important social issues and see much of the work published as being parochial and trivial. Questions are also raised about why the use of causal models has failed to generate solutions to most of the problems the discipline addresses. Some authors believe that the discipline adheres to an overly rational model of human behavior and has failed to keep up with some of the advances introduced by post-modernist theories.This highly readable set of essays should be of interest to all those are concerned about the current state of sociology. They will also be useful in introducing graduate students to some of the most important issues currently being debated in the field.Stephen Cole is currently professor of sociology at the State University of New York at Stony Brook and professor of sociology at the University of Queensland, Australia. He is the author of Making Science: Between Nature and Society, and with Jonathan R. Cole, Social Stratification in Science.",458.0,Social Science,English,9781351326346.0,1351326341,72.99,True,2018.0,0.0,Long ( >300 pages ),1
